opening,closing
[[((([[[[[([([[[[[([[([(([(,)]))])]])]]]]])])]]]]])))]]
[[[([(((([[[((((((([[[([[,]])]]])))))))]]]))))])]]]
[((([[([([[[[((([(((,)))])))]]]])])]])))]
[[[([([([([[[(((,)))]]])])])])]]]
[([([[(([[([((((([([([((,))])])])))))])]]))]])])]
[[[([([[(((([[([,])]]))))]])])]]]
[([[[([([[((([[,]])))]])])]]])]
[[([[((((([[(([[(((([(([[[[,]]]]))]))))]]))]])))))]])]]
([[[((([[(([[([([[[([[(,)]])]]])])]]))]])))]]])
([(((([[([[([(([([(,)])]))])]])]]))))])
[[([([([(([(([[[,]]]))]))])])])]]
[[([[[[[((([[(,)]])))]]]]])]]
[([([((((([[,]])))))])])]
([[(([(([[[[((((([((((((([,])))))))])))))]]]]))]))]])
[([[[[([[[[[[,]]]]]])]]]])]
[(([([[(([[[[[(,)]]]]]))]])]))]
((([[((([[[[[[[[[([([[[,]]])])]]]]]]]]])))]])))
[[([(([[((([[[([[([([[([[((,))]])]])])]])]]])))]]))])]]
[([([[[[[([[((([([[([([,])])]])])))]])]]]]])])]
([[[([((((([[([[[[(([[([(,)])]]))]]]])]])))))])]]])
[(((((([[[([[[,]]])]]]))))))]
(([(((([[((((([(((,)))])))))]]))))]))
[([[([[([([(((,)))])])]])]])]
[[[(((([((([[[[[(([[((([([,])])))]]))]]]]])))]))))]]]
((([[((([([(((([[[([,])]]]))))])])))]])))
[[([((([([[((((([(([[[((,))]]]))])))))]])])))])]]
[[((([[[[((([[((,))]])))]]]])))]]
[(([((((([[[[(([[[[[[(([[,]]))]]]]]]))]]]])))))]))]
([[[((([(((([([[[[[([[[(([(,)]))]]])]]]]])]))))])))]]])
[(((((((([(([[(,)]]))]))))))))]
[([([([[[[([([[(([[([([[([[([[,]])]])]])])]]))]])])]]]])])])]
[[[[([(([[([[([,])]])]]))])]]]]
([[[([[([[(((([[[(((([[(,)]]))))]]]))))]])]])]]])
[[([[([[([[[([(([(([[[(((,)))]]]))]))])]]])]])]])]]
[[[[([([([[([[[[[([[((([,])))]])]]]]])]])])])]]]]
([([(([[((([[[[((([([(,)])])))]]]])))]]))])])
[([[[[[([(([([(((([([([(([([[(,)]])]))])])]))))])]))])]]]]])]
[[(((([((((([[(((((([(,)]))))))]])))))]))))]]
[((((([([[[[[([([[[[,]]]])])]]]]])])))))]
[[([[[(([[[[(((([[,]]))))]]]]))]]])]]
[([[(([[[[(([,]))]]]]))]])]
([[[[[[[(([[((([[,]])))]]))]]]]]]])
(((([[[([[([((((,))))])]])]]]))))
((([[[(((([[[((([(((((([((,))]))))))])))]]]))))]]])))
[[[[(([[([(([[(([([[[[[(([[,]]))]]]]])]))]]))])]]))]]]]
[((([([(([([[(([[,]]))]])]))])])))]
[([((([([[([(([([[,]])]))])]])])))])]
([[[(([(((([[([[[[[[([(([[[([(,)])]]]))])]]]]]])]]))))]))]]])
([(([[([([[[(((([([(([[[(((([[,]]))))]]]))])]))))]]])])]]))])
[[(([((((([[([[(([([[([[((,))]])]])]))]])]])))))]))]]
([([[(([[([([(([[([[[[,]]]])]]))])])]]))]])])
(([(((([(([[[[[([([(([(((([[[,]]]))))]))])])]]]]]))]))))]))
([((((([[[[[([([[[([([[,]])])]]])])]]]]])))))])
[([[([([[[[[[([[[[[[(((,)))]]]]]])]]]]]])])]])]
(([([(([([[[[(((((([,]))))))]]]])]))])]))
[[(([[[[[([[([[[((([([,])])))]]])]])]]]]]))]]
[((((([[[(((([([[(([((,))]))]])]))))]]])))))]
[[([([([([([([(([([[[(([[[(,)]]]))]]])]))])])])])])])]]
(([(([([[(((([[[[([([[[((((([[,]])))))]]])])]]]]))))]])]))]))
([(([[[[[[([[[[,]]]])]]]]]]))])
[(([[([[[[([[(((([([((,))])]))))]])]]]])]]))]
([[((([[([([(([[[[(([[[[((([(,)])))]]]]))]]]]))])])]])))]])
[([[([([((((([([[((([,])))]])])))))])])]])]
([([([((((([([[[[([[(([,]))]])]]]])])))))])])])
((((([[(([(([,]))]))]])))))
[(([([[(([((([[([([[([[[([,])]]])]])])]])))]))]])]))]
[[([([[[(([[([(,)])]]))]]])])]]
([[((([[([(([[,]]))])]])))]])
[(([[([([[([[[(,)]]])]])])]]))]
[[((([((((((([[[[[[([,])]]]]]])))))))])))]]
([[[[([(((([[((((((([((([,])))])))))))]]))))])]]]])
[([([((([((([[(((([[[([,])]]]))))]])))])))])])]
(([(([([(([(([((((,))))]))]))])]))]))
[[((([[([(([([[([(([([,])]))])]])]))])]])))]]
([[[([(((([[(([[[[([,])]]]]))]]))))])]]])
[[([[[([[[(((([([([[[[(([[[,]]]))]]]])])]))))]]])]]])]]
[[[([([(([[[([[[([[((([[([([,])])]])))]])]]])]]]))])])]]]
(([((([[[[[[[([[(([(,)]))]])]]]]]]])))]))
([[[([([([(([[([(([,]))])]]))])])])]]])
[((([[([([([([(([(([[[([[[([([,])])]]])]]]))]))])])])])]])))]
[((([[[([[([(((,)))])]])]]])))]
[(([[(([[[[(((((((((([,]))))))))))]]]]))]]))]
[[([(([[(((((([,]))))))]]))])]]
([([[[[[([[([(([[[([(,)])]]]))])]])]]]]])])
([([([[(([([[[(,)]]])]))]])])])
[[[([[((([[((([(([[(((,)))]]))])))]])))]])]]]
[[[((([([[[((([[(((((((([[,]]))))))))]])))]]])])))]]]
[(([(([([(([[([[([[,]])]])]]))])]))]))]
[((([(((([([[[(((([[(([[[(,)]]]))]]))))]]])]))))])))]
[[[((([(((([[[[(((,)))]]]]))))])))]]]
[([[(([(((((([(([(,)]))]))))))]))]])]
(([[[[[[[(([[[([(([[([([([[([,])]])])])]]))])]]]))]]]]]]]))
([[[[(((([((([[[[((([((([[[(((,)))]]])))])))]]]])))]))))]]]])
(([[[([(([[[[([(([[(([(((([,]))))]))]]))])]]]]))])]]]))
(((([([([(([(([[([([(([[[[[[,]]]]]]))])])]]))]))])])]))))
([[([([([([([(([([[[(,)]]])]))])])])])])]])
(([[(((([[([([[[([,])]]])])]]))))]]))
([[[(([[[(((([[((([[(([[,]]))]])))]]))))]]]))]]])
[[[[[[((((([([([[[[[[[[(,)]]]]]]]])])])))))]]]]]]
(([[[[(([[([[([([[[(,)]]])])]])]]))]]]]))
[[[([((((([[[([[(([[,]]))]])]]])))))])]]]
((([[[(([[[((([([(,)])])))]]]))]]])))
[[[([[([((((([[(([[([((([([((,))])])))])]]))]])))))])]])]]]
[([[[(((([([([(((,)))])])]))))]]])]
[((((([([([[[((,))]]])])])))))]
[([([(([[[([[[((((([([[(,)]])])))))]]])]]]))])])]
[(([(([[[([[[([,])]]])]]]))]))]
[(((([[[[[[[[[((([([[[((,))]]])])))]]]]]]]]]))))]
([[[([(([[[(,)]]]))])]]])
[[[[([([((([[(([((([([([[[[,]]]])])])))]))]])))])])]]]]
((([[[([(([([[[[[([([[(((((,)))))]])])]]]]])]))])]]])))
[([[[[(([[([([[[((,))]]])])]]))]]]])]
([[[[((([[([[([((((([[[[,]]]])))))])]])]])))]]]])
(((([(([([[((,))]])]))]))))
([[[((([[[([[(([[([[[(([([,])]))]]])]]))]])]]])))]]])
([([[(([[(([[([([(([(([[[([[((,))]])]]]))]))])])]]))]]))]])])
[[([[(([([(((,)))])]))]])]]
([(([([([[([[[[[[[[[[([[(([,]))]])]]]]]]]]]])]])])]))])
(((([((([[([(([(((([[,]]))))]))])]])))]))))
([(([([([[[((([(([[((([[((((((,))))))]])))]]))])))]]])])]))])
(([(([[[([([([[(([[[[[([[,]])]]]]]))]])])])]]]))]))
[[[[[([([(([[([[((([(((([[[[,]]]]))))])))]])]]))])])]]]]]
[[[([[([([[[([[(([[((,))]]))]])]]])])]])]]]
[([[[[[[((([[[(([[(([[[((,))]]]))]]))]]])))]]]]]])]
[[((([([[(((([((([((((([[(([[(,)]]))]])))))])))]))))]])])))]]
[(([([[([[[[[[[[(((([[[[,]]]]))))]]]]]]]])]])]))]
([([[([[([([[[([([[[,]]])])]]])])]])]])])
(([[[((((([[[[([[[[[(,)]]]]])]]]])))))]]]))
(([(((([([((,))])]))))]))
[(([([[(([[([((([[([[(([(((([(,)]))))]))]])]])))])]]))]])]))]
((([((([[[([[[[(([[(,)]]))]]]])]]])))])))
[((([[([[[[(((((([[[([[,]])]]]))))))]]]])]])))]
((((([[[(([([(([[,]]))])]))]]])))))
[([[(([(([([[([([([(((([([[(((,)))]])]))))])])])]])]))]))]])]
([[[([((((([([[([(([[[(([[[(,)]]]))]]]))])]])])))))])]]])
((([[[[([((([([[[([[[([(((([,]))))])]]])]]])])))])]]]])))
((([[[[(((([[(([[[,]]]))]]))))]]]])))
[([([[[([[[[([([((((,))))])])]]]])]]])])]
[[[[([[[(([[([[(((,)))]])]]))]]])]]]]
([([[((([([[([[[[[[[[[[[([[[(,)]]])]]]]]]]]]]])]])])))]])])
([[[[(([([[[(([[([[(([(,)]))]])]]))]]])]))]]]])
[[[[[([((((([((((([,])))))])))))])]]]]]
([[[([([(([([[[(([[([([[,]])])]]))]]])]))])])]]])
((([[[[[[(([[((([(,)])))]]))]]]]]])))
[[[[[([([((([[[((([([[[[,]]]])])))]]])))])])]]]]]
[([([[([[([[[(([[(,)]]))]]])]])]])])]
[([(([(([(([(([[[[([[[,]]])]]]]))]))]))]))])]
[([[([(([([[[([(([[(([[[([,])]]]))]]))])]]])]))])]])]
([[(((([([([([([([[[([[[((([((,))])))]]])]]])])])])])]))))]])
[([(([[(([((([[((([[((,))]])))]])))]))]]))])]
[([((([[([([[(((,)))]])])]])))])]
([[[(([[[[(([[[(([([([[[[[[(,)]]]]]])])]))]]]))]]]]))]]])
(([([[[[(([(([[(((([(([(,)]))]))))]]))]))]]]])]))
[[(((([[[[[([[((,))]])]]]]]))))]]
[(([[[[([([((([(([[[[(((([([[(,)]])]))))]]]]))])))])])]]]]))]
[([([[[[([([[[(((((((([,]))))))))]]])])]]]])])]
(([[([((((([[[,]]])))))])]]))
(([([[([[((([[([,])]])))]])]])]))
[(([[[[((([((([(,)])))])))]]]]))]
[(([[((([[[[([([[,]])])]]]])))]]))]
[[(([[[(([[((((([[([[[[[([[([,])]])]]]]])]])))))]]))]]]))]]
[[[((([[[[[[((([([([,])])])))]]]]]])))]]]
[[([([([[([[((([([[[,]]])])))]])]])])])]]
[(((([[([[[[[(([[(([[[([[,]])]]]))]]))]]]]])]]))))]
([([[[(([[([(([(([(([([,])]))]))]))])]]))]]])])
([[[[([((([((((([((,))])))))])))])]]]])
([[[[[([[[([[[[((((([([[[,]]])])))))]]]])]]])]]]]])
[((([[[[[(([([[[(([[[,]]]))]]])]))]]]]])))]
[[(([[([[[(([([([[[[,]]]])])]))]]])]]))]]
([[[(([([(([([([(([([([(([([[(,)]])]))])])]))])])]))])]))]]])
([[[(([([((((((([[[,]]])))))))])]))]]])
([(([((([((([([[[([(([[,]]))])]]])])))])))]))])
[([[([([[([[,]])]])])]])]
[((([[([[[([[[([[,]])]]])]]])]])))]
([[[(([[[([([[[[([[[[([([[([[,]])]])])]]]])]]]])])]]]))]]])
[[([[[[([[[[(([((((,))))]))]]]])]]]])]]
[(([([[[[(([([[([[[[((((([(((,)))])))))]]]])]])]))]]]])]))]
((([[(([(([[[(([[[([[[[[[([[,]])]]]]]])]]]))]]]))]))]])))
(([([([(([[([[[((([[[[(((([,]))))]]]])))]]])]]))])])]))
[[[([(([[([([((([(,)])))])])]]))])]]]
[([([[([(([([[[([[[(([[[,]]]))]]])]]])]))])]])])]
[[[[[([[(([([[([[(((([(,)]))))]])]])]))]])]]]]]
[([[[(([[[[(([[[[[[[([[((((,))))]])]]]]]]]))]]]]))]]])]
([([[(((([[([[[[[,]]]]])]]))))]])])
([[[[(([[(((,)))]]))]]]])
[[[([(([([[[((([[[([,])]]])))]]])]))])]]]
([[([[[([[[(([([[(([([(([[[[((,))]]]]))])]))]])]))]]])]]])]])
(((([([(([([[(([[(((([(((,)))]))))]]))]])]))])]))))
(((((([(([[[([[(,)]])]]]))]))))))
([([[(((([[[((([[((,))]])))]]]))))]])])
[((([[[(([([[([([[[[[((,))]]]]])])]])]))]]])))]
(([[([(([([((([[[([[[([,])]]])]]])))])]))])]]))
([[[((([[[([[([[((([[(((,)))]])))]])]])]]])))]]])
[(((([[[[[[([([[[(([[[([[[,]]])]]]))]]])])]]]]]]))))]
[([(([([((([[[([([[[,]]])])]]])))])]))])]
([[[([[[[([([(((((,)))))])])]]]])]]])
[([([(([[[(([([(([([([([,])])])]))])]))]]]))])])]
[[([[(([(([[[[[,]]]]]))]))]])]]
[[[[([(([[((([[[[([(([[[[[([,])]]]]]))])]]]])))]]))])]]]]
[[([([[[[[[(([([((([[,]])))])]))]]]]]])])]]
[(([[[[((([[([[([[[,]]])]])]])))]]]]))]
([[([([[[[[([[([[(([(([[,]]))]))]])]])]]]]])])]])
[([[[[([[(((([[[((([[[([[,]])]]])))]]]))))]])]]]])]
([[((([[((([[[([[([[((((([[(,)]])))))]])]])]]])))]])))]])
[[[([([[(([[([[[([[[([[((([[((,))]])))]])]]])]]])]]))]])])]]]
(((((([((((([[[([(((([(([(((,)))]))]))))])]]])))))]))))))
[(([([[([[[([[[[(([[[(,)]]]))]]]])]]])]])]))]
([(([([[[([[[([[[(,)]]])]]])]]])]))])
[(([([[[([[[[[([([(([((,))]))])])]]]]])]]])]))]
[[[[[([[((((([([(([([([[[([(((,)))])]]])])]))])])))))]])]]]]]
[[[[[([(([([[([[[[[[[[[,]]]]]]]]])]])]))])]]]]]
((([([(([([[[[[(([([,])]))]]]]])]))])])))
([(([((([[[([([((((([[(((([[[,]]]))))]])))))])])]]])))]))])
[([(([((([(((([([[[[((([,])))]]]])]))))])))]))])]
([[([(((([[([(([[(((,)))]]))])]]))))])]])
[([(([(([((([(([[([((([[,]])))])]]))])))]))]))])]
(([(([([([[[,]]])])]))]))
((([([[[[[[[((([[(,)]])))]]]]]]])])))
([[[(((([[[[([[((([((,))])))]])]]]]))))]]])
(((((([([(([(,)]))])]))))))
([[((([([[[([[[,]]])]]])])))]])
(((((([((((([[,]])))))]))))))
[[([[([(([[([(([([[((,))]])]))])]]))])]])]]
(([([([(([(([[[[[(,)]]]]]))]))])])]))
[([((((([[[[(([,]))]]]])))))])]
[[[([([(([([((([((((,))))])))])]))])])]]]
[(((([(((((([([(([[[,]]]))])]))))))]))))]
(([(([[([[[[([[[[([[(([([(((,)))])]))]])]]]])]]]])]]))]))
(([[[[([(([[[([[([([([[((,))]])])])]])]]]))])]]]]))
((([[[[((((([([[[[([([[([[[,]]])]])])]]]])])))))]]]])))
([[(((([([((([([([[[[[[[[[[(([,]))]]]]]]]]]])])])))])]))))]])
[[(([[[([(([[[([,])]]]))])]]]))]]
[[([(([(([(((([[([([([(,)])])])]]))))]))]))])]]
[([[(([[(([([([[,]])])]))]]))]])]
((([[([([([[[[([(([[[,]]]))])]]]])])])]])))
([[[[([(((([[[[(((,)))]]]]))))])]]]])
(((([([[([[([[(([(((([[[([,])]]]))))]))]])]])]])]))))
([[[[[[(([[((((((([(([([,])]))])))))))]]))]]]]]])
(([([(((([[[[[[[[(((,)))]]]]]]]]))))])]))
[([([[[[([[(([[([[[(,)]]])]]))]])]]]])])]
[([([[((([((([[[[((([[[[([[[,]]])]]]])))]]]])))])))]])])]
([[([(((([((((((,))))))]))))])]])
[(((((((([([[[[((([([([[([[[,]]])]])])])))]]]])]))))))))]
([[((((([[[([(((,)))])]]])))))]])
[(([(((([((([[(([,]))]])))]))))]))]
(([(([[[([[[([[[([((([[[([[([,])]])]]])))])]]])]]])]]]))]))
(([[[[[([(([[([(([,]))])]]))])]]]]]))
[([([(([[[((([[([([[([(([(,)]))])]])])]])))]]]))])])]
(((((((([(([[(([,]))]]))]))))))))
(([(([[([[[[(([[([[([[([(,)])]])]])]]))]]]])]]))]))
([([([[(([[[[[((([([([,])])])))]]]]]))]])])])
[[(([(([([([[([[[[([[,]])]]]])]])])]))]))]]
[[[[((([([((((,))))])])))]]]]
(([[[(((([[([(((([[[([[[(([,]))]]])]]]))))])]]))))]]]))
([[(((((([([[[[[(([[,]]))]]]]])]))))))]])
([[((([((([(,)])))])))]])
[([[((([(([((,))]))])))]])]
[[[[([[[[[(((([[[[(((([[(([,]))]]))))]]]]))))]]]]])]]]]
[[((([([((([([([[(([[[[[(([,]))]]]]]))]])])])))])])))]]
([(([([(([[([[[[(([([[(([([[[,]]])]))]])]))]]]])]]))])]))])
([([[([(([[([([(,)])])]]))])]])])
[[[[(([(([[([([[[([([(([,]))])])]]])])]]))]))]]]]
([[[[(([[([[(((([([(((,)))])]))))]])]]))]]]])
[([([[([(([[([([[(([[[(((([[,]]))))]]]))]])])]]))])]])])]
[[[[[[(([([(([((,))]))])]))]]]]]]
([([[[[[(((([[[[([,])]]]]))))]]]]])])
[[[(([([(([[([([(([([[(((([(,)]))))]])]))])])]]))])]))]]]
[[([(([[[((([[,]])))]]]))])]]
([(([(([(([[[[(([[,]]))]]]]))]))]))])
[[[[([[((([([([([([((,))])])])])])))]])]]]]
[([((([([([((([,])))])])])))])]
(([([(((([[[[(([([((([[,]])))])]))]]]]))))])]))
([([[[[([[([[([[((([[,]])))]])]])]])]]]])])
((([([[([[[(([([,])]))]]])]])])))
(((((([[(((([[[,]]]))))]]))))))
([[([[([([[[[(([(,)]))]]]])])]])]])
([[[([[[(([[([([([((,))])])])]]))]]])]]])
([[(([([[((((([(([[((((,))))]]))])))))]])]))]])
[((([(([[[[([[((((([[([((([[[,]]])))])]])))))]])]]]]))])))]
[((([[([[[[[(([[([(([[([,])]]))])]]))]]]]])]])))]
[([[[[([[((([(((((((,)))))))])))]])]]]])]
[[([[(([[[([([[[[([[((([([[(((,)))]])])))]])]]]])])]]]))]])]]
([[[([[([[(([([[[[[[[[([((,))])]]]]]]]])]))]])]])]]])
([((((((([(([[(((([(,)]))))]]))])))))))])
[[[([[[[[[([([((((([(((([[[([,])]]]))))])))))])])]]]]]])]]]
([(([[[[(([([[([[([[[,]]])]])]])]))]]]]))])
([[[[[((([[([[[[([(((([[((([(,)])))]]))))])]]]])]])))]]]]])
(([[(([[([[[[[[[[([[(((([[(([,]))]]))))]])]]]]]]]])]]))]]))
[[(([([([([[(,)]])])])]))]]
([(((([[([((([[(,)]])))])]]))))])
[([[[([([[[[[[[([([([[,]])])])]]]]]]])])]]])]
[[([[([(([([([[([[[[(((([[(,)]]))))]]]])]])])]))])]])]]
[(([((([[(([((([(,)])))]))]])))]))]
[[(([[[((([[(,)]])))]]]))]]
([[(([([([([[[([[[([([[([[((,))]])]])])]]])]]])])])]))]])
([(((((([[[[[([(((((,)))))])]]]]]))))))])
[(([[([[[[[(((([[[[[[[[,]]]]]]]]))))]]]]])]]))]
[(([[([((((((((([(([,]))])))))))))])]]))]
((([[([[((([([((([([[[,]]])])))])])))]])]])))
([(([((([[(([((,))]))]])))]))])
[[(((((([([([(([([,])]))])])]))))))]]
(([[(([([(([[(([[([((([[[[,]]]])))])]]))]]))])]))]]))
([((((((([(([((([[[[(,)]]]])))]))])))))))])
[((([(([[[[[[(([[(([([[[,]]])]))]]))]]]]]]))])))]
((([([[([([(([([(,)])]))])])]])])))
[(((([(((((((([[[((,))]]]))))))))]))))]
([[[([(((([[[[([[(([[[[([,])]]]]))]])]]]]))))])]]])
[[((([[([(([[[([(([(([[,]]))]))])]]]))])]])))]]
(([([([((((((((((((((([[,]])))))))))))))))])])]))
[([(([((([[[([(([([((([[[[[,]]]]])))])]))])]]])))]))])]
([[[([[[[(([([[(,)]])]))]]]])]]])
[[[[([(([([((([(,)])))])]))])]]]]
(([(([[[([(([((([([[,]])])))]))])]]]))]))
((([(((([([[([((([[[[(,)]]]])))])]])]))))])))
[(([([[(([[([([([[[,]]])])])]]))]])]))]
[(([[([[[[((((((([[[((([[((([,])))]])))]]])))))))]]]])]]))]
([(((([[[([(([(([([((([[(((([,]))))]])))])]))]))])]]]))))])
[([(([([[([([[[[([[(,)]])]]]])])]])]))])]
((([[([[[(([([((,))])]))]]])]])))
[[[([(([[[[[(([([[[(([[,]]))]]])]))]]]]]))])]]]
[(([[((([[([[[((((([[(([([[[,]]])]))]])))))]]])]])))]]))]
([[(([[([[([([((([(,)])))])])]])]]))]])
[[([(((([([[[[[((([[[,]]])))]]]]])]))))])]]
([([[((([(((([[[((([(([([,])]))])))]]]))))])))]])])
[((([[[[[[[([([[([[[[(((([[[((,))]]]))))]]]])]])])]]]]]]])))]
([([((([[[[([(([[((([((([[[(,)]]])))])))]]))])]]]])))])])
([((((([([[([[([[[([[([,])]])]]])]])]])])))))])
[[([([[([[((,))]])]])])]]
[([([[(([[([[(([[[(,)]]]))]])]]))]])])]
[[[(([[[[(([[([([[((((([[(((,)))]])))))]])])]]))]]]]))]]]
[([[([(([[[([(((((,)))))])]]]))])]])]
((([(([([[(([(([[(([([[[((((((,))))))]]])]))]]))]))]])]))])))
[[[([[(([(([[[[[[((([(([([,])]))])))]]]]]]))]))]])]]]
[[[[([([([[[[([[([[[[([[[,]]])]]]])]])]]]])])])]]]]
[(([[[(([[[([(([[([[,]])]]))])]]]))]]]))]
[(([(([[([[[[[[[(((([(((([[[[,]]]]))))]))))]]]]]]])]]))]))]
[[[(([(((([([((([(((((((,)))))))])))])]))))]))]]]
[[[([[[([([(((([(([,]))]))))])])]]])]]]
([[[[([([([([[[[([[[,]]])]]]])])])])]]]])
([(([[[([([([[[((,))]]])])])]]]))])
(((([[(([(([(((,)))]))]))]]))))
[([(((((([[([([([(((([[[[(((([,]))))]]]]))))])])])]]))))))])]
[((((([[([(((([(,)]))))])]])))))]
([([[([([[[([([(([,]))])])]]])])]])])
([(([[[[[[([[((((([([,])])))))]])]]]]]]))])
([([(([[[((([[(((((([([[[[(([,]))]]]])]))))))]])))]]]))])])
([([[(((([([[[([([[([((([(([,]))])))])]])])]]])]))))]])])
[((([[[[[[([((((((([(([([([([,])])])]))])))))))])]]]]]])))]
([[(((([[[[([([[([,])]])])]]]]))))]])
((((([([[(([[(([([(([[((([,])))]]))])]))]]))]])])))))
[(([([([[[[(((((,)))))]]]])])]))]
(([((([[[(([[,]]))]]])))]))
(([([(([([[[[([(,)])]]]])]))])]))
[(([((([[[((,))]]])))]))]
[([([[[[((([(([[((([[[[[(([(((,)))]))]]]]])))]]))])))]]]])])]
[[[[(([([[([((([([,])])))])]])]))]]]]
[(((((([([[[([(([[((,))]]))])]]])]))))))]
[([((([[[[[[(([([([[[[(((,)))]]]])])]))]]]]]])))])]
([[[[([[((((,))))]])]]]])
[[[[[([([(([[([[([([([[([,])]])])])]])]]))])])]]]]]
[[[[[((((((((([(([(((((([[([[(,)]])]]))))))]))])))))))))]]]]]
[[[[[[[[([[[([[[[[[,]]]]]])]]])]]]]]]]]
[((([(([[(((,)))]]))])))]
(((((([[([(([([[([((([[([([[,]])])]])))])]])]))])]]))))))
[[[([(([[[[[[[(((((((,)))))))]]]]]]]))])]]]
[[(([[[(((((([,]))))))]]]))]]
[(([[[[[(([(([(,)]))]))]]]]]))]
[[([[((((([[[([([((((,))))])])]]])))))]])]]
((([([(([([[[([([[[,]]])])]]])]))])])))
((([(([((([[([[[[([([[,]])])]]]])]])))]))])))
([[([(([[((,))]]))])]])
([(((([([[[(([(((([([[(,)]])]))))]))]]])]))))])
(([[((((([[[[([([[(([[[[[,]]]]]))]])])]]]])))))]]))
([([[[(([([[([[[[[([(([([(([[(,)]]))])]))])]]]]])]])]))]]])])
([[[[[(([[[([[(([[[[(([([,])]))]]]]))]])]]]))]]]]])
((((([[[([([([[([[([([([,])])])]])]])])])]]])))))
([([[[[([[(((,)))]])]]]])])
((([(((([[[(([[[[[,]]]]]))]]]))))])))
([([([((([[([(((,)))])]])))])])])
[((([[(((([[[[[([((([[[[([[(,)]])]]]])))])]]]]]))))]])))]
[([(([([([((((([[[[[[[[(([([([,])])]))]]]]]]]])))))])])]))])]
[[([([(([([[((([(([(([[(([[,]]))]]))]))])))]])]))])])]]
[[[[([[[([([[[[[(,)]]]]])])]]])]]]]
([(([([(([(((([(,)]))))]))])]))])
[([[[(((([[([[(((,)))]])]]))))]]])]
(([[((([([(([[([[([[[[,]]]])]])]]))])])))]]))
([([([[[[(([([(([[(,)]]))])]))]]]])])])
[[(([((([(([([[[[(([[(([((,))]))]]))]]]])]))])))]))]]
[[(([([([[[[,]]]])])]))]]
([[[(([([([(((([[((((([(([([(,)])]))])))))]]))))])])]))]]])
([[((((([([[([[[[([([(([([([[(,)]])])]))])])]]]])]])])))))]])
(([[(([[[([(([([([(((([[[[,]]]]))))])])]))])]]]))]]))
([[[[([(([([[((([[([[[[(,)]]]])]])))]])]))])]]]])
(((([[([([[[((((([[[([(([((,))]))])]]])))))]]])])]]))))
([[([[[(([[([([[([[([([([[[(,)]]])])])]])]])])]]))]]])]])
[(((([[((((((([[((,))]])))))))]]))))]
[(((([[[[(([(([([[[(((,)))]]])]))]))]]]]))))]
[[(([(((([((((([(([[([[([[[,]]])]])]]))])))))]))))]))]]
(([[((([(([([([((([([[(((,)))]])])))])])]))])))]]))
([[(((([[[([[[(([(([((([((,))])))]))]))]]])]]]))))]])
([([[[[[[[(((([,]))))]]]]]]])])
((([[[([[[(([[[[[[([,])]]]]]]))]]])]]])))
[((((([[([[[[[[(([([(([,]))])]))]]]]]])]])))))]
((([[([[([((([[,]])))])]])]])))
([((([[([([[[((((,))))]]])])]])))])
[[([(([[([[(([[[,]]]))]])]]))])]]
(((([[((([([((([[(((((((([[,]]))))))))]])))])])))]]))))
(((([[[([([[[[(,)]]]])])]]]))))
[([[[[[([[(([([(((,)))])]))]])]]]]])]
[((((((((([[((((([[[[([[(([,]))]])]]]])))))]])))))))))]
[[(([([[[(([([(([([[[([([((,))])])]]])]))])]))]]])]))]]
([([(([([[([((([([[([[[([(((([,]))))])]]])]])])))])]])]))])])
(([[(([([[[[((([[[((,))]]])))]]]])]))]]))
[[([([((([[([(([[([(([[((([,])))]]))])]]))])]])))])])]]
([[((([([[([[([(,)])]])]])])))]])
([(([(((([([[(([((([[[[(,)]]]])))]))]])]))))]))])
[[[[[(((((([([((([([[(((,)))]])])))])]))))))]]]]]
[[([([(((([([[((,))]])]))))])])]]
[[((([((((([(([[([((([([([[,]])])])))])]]))])))))])))]]
[[(((((((((([[[[[[[,]]]]]]]))))))))))]]
([([[[[[((([(([[(([[[([(([[,]]))])]]]))]]))])))]]]]])])
(([([([[[[[([([[[[([[(([[([[[,]]])]]))]])]]]])])]]]]])])]))
((([(([[[[[[([[((([,])))]])]]]]]]))])))
([(([[((([(([[([([[,]])])]]))])))]]))])
(([([[[(([[[([(([,]))])]]]))]]])]))
((([[([[([[[[[,]]]]])]])]])))
[[[(([(([[[((([[([((,))])]])))]]]))]))]]]
(([[((((((([[(,)]])))))))]]))
([[(((((([[[[((([(([[([[[[([(,)])]]]])]]))])))]]]]))))))]])
[((([([[[[(([[[[(([(,)]))]]]]))]]]])])))]
[[([(([[[(((([[[[[(([[([[,]])]]))]]]]]))))]]]))])]]
[([([([((((([(([([(,)])]))])))))])])])]
[[((((((((([[(,)]])))))))))]]
[(((([([[[([[[(([[[([([([([,])])])])]]]))]]])]]])]))))]
([[[[(((([(([[((,))]]))]))))]]]])
[([(([(([[([(([([((((([[(([(((,)))]))]])))))])]))])]]))]))])]
([[((([[[[([((([,])))])]]]])))]])
[[[([[([(([[([,])]]))])]])]]]
[[[([([[([(([(((([[[(([[[[[(,)]]]]]))]]]))))]))])]])])]]]
(([(((([([([([([[(([,]))]])])])])]))))]))
(([[([([(([[[[[[[[,]]]]]]]]))])])]]))
[(((([([[([[[[[([[[[(([([[([,])]])]))]]]])]]]]])]])]))))]
(([(([[[(([[[([[((,))]])]]]))]]]))]))
